match_id,season,round_label,round_number,date,is_final,team,opposition_team,player_id,full_name,player_key,jersey_number,raw_position,display_position,tries,position_method,source_url,source,team_short,opposition_short
2025018,2025,Round 3,3,2025-03-02,False,Leeds,Castleford,,R. Hall,hall,,RW,RW,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leeds,Castleford
2025018,2025,Round 3,3,2025-03-02,False,Leeds,Castleford,,A. Handley,handley,,RC,RC,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leeds,Castleford
2025018,2025,Round 3,3,2025-03-02,False,Leeds,Castleford,,R. Lumb,lumb,,LW,LW,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leeds,Castleford
2025018,2025,Round 3,3,2025-03-02,False,Leeds,Castleford,,H. Newman,newman,,LC,LC,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leeds,Castleford
2025018,2025,Round 3,3,2025-03-02,False,Leeds,Castleford,,K. Palasia,palasia,,LK,LK,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leeds,Castleford
2025018,2025,Round 3,3,2025-03-02,False,Leeds,Castleford,,J. Sinfield,sinfield,,HLF,HLF,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leeds,Castleford
2025018,2025,Round 3,3,2025-03-02,False,Castleford,Leeds,,Z. Cini,cini,,RC,RC,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Castleford,Leeds
2025018,2025,Round 3,3,2025-03-02,False,Castleford,Leeds,,F. Rooney,rooney,,FB,FB,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Castleford,Leeds
2025018,2025,Round 3,3,2025-03-02,False,Castleford,Leeds,,I. Senior,senior,,RW,RW,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Castleford,Leeds
2025018,2025,Round 3,3,2025-03-02,False,Castleford,Leeds,,J. Simbiken,simbiken,,L2R,L2R,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Castleford,Leeds
